rule_id,match_type,match_value,facility_id,share,confidence,valid_from,valid_to,source_doc_id,note_ja
R_KEN_AYASE,city_exact,綾瀬市,FAC_KEN_AYASE,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは寒川浄水場（東系）・企業団伊勢原浄水場・企業団相模原浄水場の3つ。主要配水系統図 p41 で吉岡・杉久保配水池が寒川東系と本郷受水地点（企業団伊勢原）の両方から受け、そこから給水地域「綾瀬・海老名市内」が出ている。加えて上和田受水地点（企業団相模原）から「大和・綾瀬市内」。混合比は非公表。confidence は low
R_KEN_EBINA,city_exact,海老名市,FAC_KEN_EBINA,1.0,low,2026-04-01,,DOC_KEN_WEP_R8,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは寒川浄水場（東系）・企業団伊勢原浄水場・企業団相模原浄水場・企業団綾瀬浄水場の4つ。給水栓検査地点が「海老名市 門沢橋＝寒川・伊勢原浄水場混合系」「海老名市 望地＝相模原浄水場系」（p8）と2つの別系統を名指ししており、さらに上今泉受水地点（企業団綾瀬）が市内にある。混合比は非公表。confidence は low
R_KEN_ISEHARA,city_exact,伊勢原市,FAC_KEN_ISEHARA,1.0,low,2026-04-01,,DOC_KEN_NENPO_R4,給水区域は全域（DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは寒川浄水場（西系）と企業団伊勢原浄水場の2つ。混合比は非公表。市内の大山地区は大山浄水場系（DOC_KEN_WEP_R8 p8）なので町丁目「伊勢原市 大山」だけ zone_assignment で FAC_KEN_OYAMA に割り付けてあり、そちらが優先される。confidence は low
R_YKS_CITY,city_exact,横須賀市,FAC_YKS_CITY,1.0,low,2026-04-01,,DOC_YKS_TOUKEI_R6,給水区域は市内全域（給水面積 101.03 km2 > 行政面積 100.80 km2。DOC_YKS_TOUKEI_R6 p1）。水源の顔ぶれは相模川・酒匂川・走水の湧水の3つで、比率は令和6年度の系統別着水量の実績（同 p31・p32）から出した市全体の年間平均。町丁目ごとの実測ではなく、実際には配水ブロックごとに構成が違うので confidence は low
R_ODW_CITY,city_exact,小田原市,FAC_ODW_CITY,1.0,low,2026-04-01,,DOC_ODW_WEP_R8,給水区域は「小田原市内（神奈川県営水道給水区域を除く）」（DOC_ODW_WEP_R8 p1 表1）。**市営の給水区域を町名で並べた資料は無く、県営区域を引き算する形でしか確定できない。**県営区域（小船・中村原・沼代・上町・小竹・山西・羽根尾・東ヶ丘・前川・国府津五丁目）はzone_assignment で先に県営へ割り付けてあるのでこのルールは当たらない。「川匂」は県営区域に挙がっているが e-Stat の小田原市の町丁目に該当が無く突き合わせできていない。水源の顔ぶれは酒匂川・小田原市の地下水・片浦地区の湧水の3つで確定しているが、町丁目ごとにどの配水系統が来るかは分からないので confidence は low
R_MAS_CITY,city_exact,南足柄市,FAC_MAS_CITY,1.0,low,2026-04-01,,DOC_MAS_WEP_R8,給水区域は「南足柄市内全域」（DOC_MAS_WEP_R8 p2 表2-1）。水源の顔ぶれは狩川・南足柄市の地下水・南足柄市の湧水の3つで確定。比率は市の資料には無く県の年間取水量から置いたので、町丁目ごとの実測ではない。confidence は low
R_MIU_CITY,city_exact,三浦市,FAC_MIU_CITY,1.0,low,2026-04-01,,DOC_KAN_SUIDOU_R5,給水区域は市内全域。行政区域内人口 39819 = 給水区域内人口 39819・普及率 100.0%・現在給水区域面積 32.05 km2 = 行政区域内面積 32.05 km2（DOC_KAN_SUIDOU_R5 p17）。三浦市自身の資料には「市内全域」と書いた文が見当たらなかったので県の統計で代えている。市内は武山・津久井・津久井第2・松輪・ずい道・高山・配水塔の 7 配水系統に分かれる（DOC_MIU_WEP_R8 p2 表1）が、いずれも横須賀市からの受水なので水源の顔ぶれは変わらない。町丁目ごとの実測ではないので confidence は low
R_NKI_CITY,city_exact,中井町,FAC_NKI_CITY,1.0,medium,2026-04-01,,DOC_NKI_WEP_R8,給水区域は「中井町内及び平塚市土屋字遠藤原地区」（DOC_NKI_WEP_R8 p2 表1）で町内は全域。水源が地下水 1 種類しかないので、系統がどれであっても答えは「中井町の地下水 100%」で変わらない。よって confidence は medium。平塚市側（土屋字遠藤原）は字単位なので町丁目に落ちず割り付けていない
R_KAI_CITY,city_exact,開成町,FAC_KAI_CITY,1.0,medium,2026-04-01,,DOC_KAI_WEP_R8,給水区域は「開成町地内及び必要と認めた隣接地域」（DOC_KAI_WEP_R8）で町内は全域。水源が地下水 1 種類なので系統がどれでも答えは変わらない。よって medium。「必要と認めた隣接地域」がどこかは資料に書かれていないので町外へは広げていない
R_OI_CITY,city_exact,大井町,FAC_OI_CITY,1.0,medium,2026-04-01,,DOC_OI_KEIEI,給水区域は「町内全域」（DOC_OI_KEIEI p1・p3 表1-1）。水源が地下水 1 種類なので系統がどれでも答えは変わらない。よって medium
R_HAD_CITY,city_exact,秦野市,FAC_HAD_CITY,1.0,low,2026-04-01,,DOC_HAD_JOREI,給水区域は給水条例別表第1に町名で列挙されており（DOC_HAD_JOREI）、市街地はほぼ全域が入る（給水人口 160231 / 行政区域内人口 160674・普及率 99.91%。DOC_HAD_TOUKEI_R6 p13）。「○○の一部」が多いのは山林部が給水区域外だからで、住んでいる町丁目はほぼカバーされる。水源の顔ぶれは秦野市の地下水・秦野の湧水・水無川・四十八瀬川・県水（企業団伊勢原経由）の 5 つで確定。ただし 5 つの配水場が県水だけで運用されているなど町丁目による差が大きく、ここで当てているのは市全体の年間平均なので confidence は low。松田町寄の一部（湯の沢地区）にも給水しているが（給水条例別表第1）、大字「寄」の中の一部なので町丁目には落ちず割り付けていない
R_ZAM_CITY,city_exact,座間市,FAC_ZAM_CITY,1.0,low,2026-04-01,,DOC_ZAM_WEP_R8,給水区域は「本市区域内(在日米軍用地を除く。)」（DOC_ZAM_WEP_R8 p2 表1）。在日米軍用地（キャンプ座間）は e-Stat の町丁目の粒度で切り出せないのでそのまま含めている。水源の顔ぶれは座間市の地下水と県水（谷ケ原浄水場＋企業団綾瀬浄水場＝いずれも相模川）の 2 つで確定。比率は市全体の年間平均で町丁目ごとの実測ではないので confidence は low
R_MNZ_CITY,city_exact,真鶴町,FAC_MNZ_CITY,1.0,low,2026-04-01,,DOC_MNZ_WEP,給水区域を「全域」と明記した資料は見つからなかったが、水源系統ごとの主な配水先（橋の上・長坂住宅・馬場・岩海岸・平台・大ケ窪・真鶴低・細山・棚子下・新島・駅前・城北・真鶴高台・済度・宮の前・半島沿線・岬・琴ケ浜）が町内をひととおり覆っており（DOC_MNZ_WEP p2 表2.1）、行政区域内人口 6228 = 給水区域内人口 6228（DOC_KAN_SUIDOU_R5 p17）でもある。水源の顔ぶれは真鶴町のトンネル湧水・真鶴町の地下水・新崎川（湯河原分水）の 3 つで確定。比率は町全体の年間平均で、e-Stat の町丁目が 2 つしかない一方で系統は 4 つあるので confidence は low
R_KYK_CITY,city_exact,清川村,FAC_KYK_MIYAGASE,1.0,low,2026-04-01,,DOC_KYK_WEP_R8,給水区域は「清川村一円（丹沢札掛地区を除く。）」（DOC_KYK_WEP_R8 p1）。丹沢札掛は大字煤ヶ谷の中の地区なので町丁目には落ちず、煤ケ谷を丸ごと村営として扱っている。普及率は 98.2%（DOC_KAN_SUIDOU_R5 p50）で、外れるのはこの札掛分とみられる。水源が中津川 1 つだけなので水源の顔ぶれは確定。町丁目の一部が区域外である分 confidence は low
R_KEN_OISO,city_exact,大磯町,FAC_KEN_OISO,1.0,low,2026-04-01,,DOC_KEN_KYUSUIKUIKI,給水区域は全域（面積 17.23 km2 = 行政区域 17.23 km2・給水人口 30368 人。DOC_KEN_KYUSUIKUIKI）。水源の顔ぶれは寒川浄水場と企業団伊勢原浄水場の 2 つで確定するが混合比は非公表なので basis=unknown。町内のどの配水池がどの町丁目に来るかまでは分からないので confidence は low
R_KEN_NINOMIYA,city_exact,二宮町,FAC_KEN_OISO,1.0,low,2026-04-01,,DOC_KEN_KYUSUIKUIKI,給水区域は全域（面積 9.08 km2 = 行政区域 9.08 km2・給水人口 26178 人。DOC_KEN_KYUSUIKUIKI）。二宮高区配水池は上吉沢配水池を経て平塚配水池の下流にある（DOC_KEN_NENPO_R4 p41）。顔ぶれは大磯町と同じ。混合比は非公表なので basis=unknown。confidence は low
